Id,Nombre,Género,Edad,Promedio_Notas,Asistencia_Clases_pct,TP_Entregados_pct,Trabaja,Tipo_Educacion,Año_Cursado,Materias_Aprobadas_Promedio,Demora_Traslado_min,Nivel_Asistencia,Regular,Indice_Compromiso,Categoria_Riesgo
2581,Miguel Pérez,Masculino,22,7.08,69.8,68.5,No,Privada,3,6,12,Baja,No,6.92,Sin riesgo
2582,Juan López,Masculino,20,7.63,65.2,83.1,Sí,Privada,6,1,100,Baja,No,7.42,Sin riesgo
2583,Rodrigo Suárez,Masculino,29,7.79,85.7,60.2,No,Pública,2,1,118,Alta,No,7.3,Sin riesgo
2584,Bruno Álvarez,No informado,24,7.16,52.8,77.5,No,Pública,1,1,8,Baja,No,6.52,Sin riesgo
2585,Verónica Díaz,Femenino,28,0.0,74.4,69.9,Sí,Pública,1,5,33,Baja,No,7.22,Riesgo moderado
2586,Sebastián Muñoz,Masculino,27,8.1,79.0,62.0,No,Pública,2,6,16,Alta,No,7.05,Sin riesgo
2587,Gabriel Vargas,Masculino,26,8.52,80.9,92.9,Sí,Privada,5,2,105,Alta,Sí,8.69,Sin riesgo
2588,Ana Medina,Femenino,30,8.36,70.3,46.8,No,Pública,2,2,104,Baja,No,5.86,Sin riesgo
2589,Verónica Navarro,Femenino,30,9.22,65.2,69.2,No,Privada,5,2,55,Baja,No,6.72,Sin riesgo
2590,Andrés Pérez,Masculino,26,5.14,84.1,51.7,No,Pública,1,3,23,Alta,No,6.79,Sin riesgo
2591,Julia Álvarez,Femenino,26,6.41,92.4,91.7,Sí,Pública,6,4,105,Alta,Sí,9.21,Sin riesgo
2592,Luisa Cabrera,Femenino,19,9.69,84.7,55.2,Sí,Pública,3,3,115,Alta,No,7.0,Sin riesgo
2593,Marcos Aguilar,Masculino,20,6.38,96.6,28.1,Sí,Privada,4,6,35,Alta,No,6.24,Sin riesgo
2594,Luisa Torres,Femenino,24,4.75,85.9,49.9,No,Privada,6,1,112,Alta,No,6.79,Sin riesgo
2595,Nicolás Ramos,Masculino,22,7.15,88.2,64.3,No,Pública,1,5,30,Alta,No,7.62,Sin riesgo
2596,Agustina Flores,Femenino,19,4.66,58.4,94.0,No,Privada,1,2,113,Baja,No,7.62,Alto riesgo
2597,Julia Aguilar,No informado,20,5.22,71.0,50.0,Sí,Pública,1,2,10,Baja,No,6.05,Riesgo moderado
2598,María Aguilar,Femenino,27,9.99,74.3,79.8,No,Pública,4,4,33,Baja,No,7.7,Sin riesgo
2599,Diego Suárez,Masculino,23,7.25,62.8,52.3,Sí,Privada,5,6,21,Baja,No,5.76,Sin riesgo
2600,Carla Morales,Femenino,30,5.7,76.4,64.9,No,Privada,3,4,24,Alta,No,7.06,Riesgo moderado
2601,Isabel Torres,Femenino,24,9.97,64.5,100.0,No,Pública,6,5,46,Baja,No,8.22,Sin riesgo
2602,Aldana Rodríguez,No informado,26,9.8,84.4,74.6,Sí,Privada,6,5,114,Alta,Sí,7.95,Sin riesgo
2603,Romina Vargas,Femenino,18,0.0,73.5,76.2,Sí,Pública,3,2,51,Baja,No,7.48,Riesgo moderado
2604,Luciana Molina,Femenino,28,0.0,72.9,78.4,Sí,Pública,3,5,78,Baja,No,7.56,Riesgo moderado
2605,Valentín Aguilar,Masculino,24,9.03,99.2,56.3,No,Privada,5,5,74,Alta,No,7.78,Sin riesgo
2606,Nicolás Rivera,Masculino,25,8.29,69.6,64.1,No,Pública,6,3,116,Baja,No,6.68,Sin riesgo
2607,Juan Castro,Masculino,29,8.12,68.1,42.2,No,Pública,1,3,100,Baja,No,5.52,Sin riesgo
2608,Sebastián García,Masculino,20,0.0,65.9,86.1,No,Pública,2,5,6,Baja,No,7.6,Alto riesgo
2609,Alejandro Morales,Masculino,21,8.14,94.7,90.2,No,Pública,3,5,78,Alta,Sí,9.25,Sin riesgo
2610,Nicolás Rodríguez,Masculino,27,5.7,74.8,52.0,No,Pública,1,2,41,Baja,No,6.34,Riesgo moderado
2611,Jimena Ramírez,Femenino,23,8.16,80.0,52.1,No,Privada,1,5,95,Alta,No,6.6,Sin riesgo
2612,Florencia Sánchez,Femenino,27,5.83,59.0,42.5,Sí,Privada,4,5,109,Baja,No,5.08,Alto riesgo
2613,Alejandro Herrera,Masculino,31,8.56,77.0,98.2,Sí,Privada,2,1,23,Alta,Sí,8.76,Sin riesgo
2614,Andrés Herrera,Masculino,30,7.72,22.2,88.4,No,Pública,1,4,119,Baja,No,5.53,Sin riesgo
2615,Rodrigo Medina,Masculino,21,4.46,68.3,61.6,No,Privada,3,1,45,Baja,No,6.5,Alto riesgo
2616,Tomás Rodríguez,Masculino,25,7.08,91.6,68.9,No,Pública,4,1,20,Alta,No,8.02,Sin riesgo
2617,César Herrera,Masculino,22,0.0,85.7,57.5,Sí,Privada,2,3,119,Alta,No,7.16,Sin riesgo
2618,Marcos Aguilar,Masculino,18,5.97,86.5,75.8,Sí,Pública,4,5,88,Alta,Sí,8.12,Sin riesgo
2619,Damián Rodríguez,Masculino,21,7.61,53.0,83.0,Sí,Pública,1,0,64,Baja,No,6.8,Sin riesgo
2620,Ignacio Flores,Masculino,20,5.93,85.6,66.8,Sí,Pública,3,5,61,Alta,No,7.62,Sin riesgo
2621,Sofía Suárez,Femenino,26,8.66,71.1,92.4,No,Pública,3,3,104,Baja,No,8.18,Sin riesgo
2622,Santiago Muñoz,Masculino,25,4.42,61.2,71.0,No,Pública,3,5,68,Baja,No,6.61,Alto riesgo
2623,Verónica Morales,Femenino,18,7.96,63.0,48.7,No,Privada,1,5,9,Baja,No,5.58,Sin riesgo
2624,Florencia Pérez,Femenino,28,8.86,53.5,77.3,No,Pública,5,5,22,Baja,No,6.54,Sin riesgo
2625,Ignacio Molina,Masculino,23,8.04,70.7,67.7,No,Pública,6,5,76,Baja,No,6.92,Sin riesgo
2626,Marcos Díaz,Masculino,26,6.98,73.1,96.1,Sí,Pública,6,5,17,Baja,No,8.46,Riesgo moderado
2627,Ana Torres,Femenino,24,9.7,62.8,63.5,No,Pública,3,1,109,Baja,No,6.32,Sin riesgo
2628,Clara Muñoz,Femenino,21,5.8,86.4,64.2,No,Privada,6,2,78,Alta,No,7.53,Sin riesgo
2629,Miguel Suárez,Masculino,30,4.12,53.7,79.0,Sí,Pública,5,1,40,Baja,No,6.64,Alto riesgo
2630,Rodrigo Díaz,Masculino,18,6.59,61.1,71.6,No,Privada,3,4,23,Baja,No,6.64,Riesgo moderado
2631,Santiago Álvarez,Masculino,29,4.2,87.4,62.5,No,Pública,5,1,35,Alta,No,7.5,Sin riesgo
2632,Eduardo Castro,Masculino,19,9.72,71.9,99.4,Sí,Privada,2,1,104,Baja,No,8.57,Sin riesgo
2633,Daniela Herrera,Femenino,29,5.26,85.3,58.1,Sí,Privada,6,5,97,Alta,No,7.17,Sin riesgo
2634,Emilio Muñoz,Masculino,22,8.73,78.4,100.0,No,Pública,2,4,113,Alta,Sí,8.92,Sin riesgo
2635,Camila Martínez,Femenino,29,8.65,97.5,91.9,Sí,Pública,3,5,27,Alta,Sí,9.47,Sin riesgo
2636,Carlos Vargas,Masculino,28,5.31,79.9,40.2,Sí,Pública,4,1,36,Alta,No,6.01,Riesgo moderado
2637,Verónica Muñoz,Femenino,22,7.73,33.4,52.1,No,Privada,4,2,117,Baja,No,4.28,Sin riesgo
2638,Damián Álvarez,Masculino,25,4.29,67.6,75.4,No,Pública,1,2,15,Baja,No,7.15,Alto riesgo
2639,Santiago Medina,Masculino,23,6.9,57.2,49.7,No,Pública,2,0,70,Baja,No,5.35,Riesgo moderado
2640,Emilio Martínez,Masculino,25,4.09,96.2,99.1,No,Privada,2,2,100,Alta,Sí,9.76,Sin riesgo
2641,Florencia González,Femenino,19,9.53,55.2,67.9,No,Privada,1,2,9,Baja,No,6.16,Sin riesgo
2642,Diana Díaz,Femenino,20,9.86,69.4,75.8,No,Privada,3,1,99,Baja,No,7.26,Sin riesgo
2643,Nicolás Ortega,Masculino,23,5.33,61.3,49.6,No,Pública,1,3,17,Baja,No,5.54,Alto riesgo
2644,Luisa Morales,Femenino,29,5.25,92.2,57.4,No,Pública,2,2,90,Alta,No,7.48,Sin riesgo
2645,Carla Cabrera,Femenino,30,8.52,65.4,76.9,Sí,Privada,1,0,68,Baja,No,7.12,Sin riesgo
2646,Pablo Ramírez,Masculino,27,0.0,99.6,73.0,Sí,Privada,2,4,39,Alta,Sí,8.63,Sin riesgo
2647,Marcos Ortega,Masculino,20,9.37,51.9,87.1,No,Privada,5,4,87,Baja,No,6.95,Sin riesgo
2648,Camila Vargas,No informado,23,7.44,56.4,56.2,No,Pública,5,5,33,Baja,No,5.63,Sin riesgo
2649,Isabel Aguilar,Femenino,23,6.1,61.2,79.2,No,Pública,1,3,27,Baja,No,7.02,Riesgo moderado
2650,Julia Martínez,Femenino,19,9.0,90.6,57.5,No,Pública,4,6,87,Alta,No,7.4,Sin riesgo
2651,Lucas Castro,Masculino,24,6.96,93.9,75.2,No,Privada,4,5,84,Alta,Sí,8.46,Sin riesgo
2652,Beatriz Navarro,Femenino,29,9.47,53.1,76.3,Sí,Pública,2,3,99,Baja,No,6.47,Sin riesgo
2653,Verónica Molina,Femenino,19,9.57,51.6,47.3,No,Pública,1,3,20,Baja,No,4.94,Sin riesgo
2654,Romina Sánchez,Femenino,23,4.99,87.2,72.9,No,Pública,5,0,30,Alta,Sí,8.01,Sin riesgo
2655,Pablo Martínez,Masculino,18,4.01,56.7,40.7,Sí,Pública,5,4,7,Baja,No,4.87,Alto riesgo
2656,Sofía Sánchez,Femenino,20,9.9,56.6,70.1,Sí,Privada,1,3,27,Baja,No,6.33,Sin riesgo
2657,Valentina Díaz,Femenino,19,9.44,51.1,81.9,No,Pública,6,6,61,Baja,No,6.65,Sin riesgo
2658,Santiago Ortega,Masculino,24,4.33,52.5,44.4,No,Pública,1,4,13,Baja,No,4.85,Alto riesgo
2659,Luisa López,Femenino,21,9.0,63.2,100.0,Sí,Pública,4,6,55,Baja,No,8.16,Sin riesgo
2660,Valeria Sánchez,Femenino,25,6.75,53.3,67.5,No,Pública,1,5,92,Baja,No,6.04,Riesgo moderado
2661,Andrés Sánchez,Masculino,23,5.55,68.4,96.3,Sí,Privada,6,6,37,Baja,No,8.24,Alto riesgo
2662,Valentín Vargas,Masculino,29,9.27,91.6,46.4,No,Privada,6,2,82,Alta,No,6.9,Sin riesgo
2663,Miguel Díaz,Masculino,27,0.0,66.3,97.0,No,Pública,4,1,96,Baja,No,8.17,Alto riesgo
2664,Agustín Castro,Masculino,21,9.68,86.4,46.6,Sí,Privada,3,5,28,Alta,No,6.65,Sin riesgo
2665,Luisa Castro,Femenino,22,5.23,54.7,67.7,Sí,Pública,5,5,111,Baja,No,6.12,Alto riesgo
2666,Agustina Martínez,Femenino,30,7.68,96.9,96.3,No,Pública,5,1,54,Alta,Sí,9.66,Sin riesgo
2667,Ana Rivera,Femenino,30,5.34,65.8,54.0,No,Pública,1,5,56,Baja,No,5.99,Alto riesgo
2668,Marcos Rodríguez,Masculino,23,7.27,87.5,42.1,Sí,Pública,5,3,75,Alta,No,6.48,Sin riesgo
2669,Agustín Medina,Masculino,24,8.1,56.8,87.6,No,Pública,1,1,42,Baja,No,7.22,Sin riesgo
2670,Sofía Ramos,Femenino,27,5.14,94.9,75.8,No,Pública,6,3,48,Alta,Sí,8.54,Sin riesgo
2671,Valentín Vargas,Masculino,26,7.13,62.1,70.8,Sí,Privada,6,6,93,Baja,No,6.64,Sin riesgo
2672,Emilio López,Masculino,24,6.81,67.7,42.1,Sí,Pública,3,3,60,Baja,No,5.49,Riesgo moderado
2673,Valentín González,Masculino,29,4.43,97.5,79.2,No,Pública,6,5,70,Alta,Sí,8.83,Sin riesgo
2674,Romina García,Femenino,18,8.91,78.9,50.3,No,Pública,4,0,49,Alta,No,6.46,Sin riesgo
2675,Emilia Suárez,Femenino,29,6.01,68.3,95.9,Sí,Pública,3,4,56,Baja,No,8.21,Riesgo moderado
2676,Hernán Ortega,Masculino,25,7.45,97.5,100.0,No,Privada,4,6,5,Alta,Sí,9.88,Sin riesgo
2677,Alejandro Pérez,Masculino,21,7.09,66.5,82.4,No,Pública,4,3,91,Baja,No,7.44,Sin riesgo
2678,Damián Flores,Masculino,20,7.08,54.7,54.0,Sí,Privada,1,2,115,Baja,No,5.44,Sin riesgo
2679,Matías Herrera,Masculino,30,4.64,99.8,92.8,No,Privada,4,4,120,Alta,Sí,9.63,Sin riesgo
2680,Bruno Vargas,Masculino,24,6.54,63.4,100.0,Sí,Privada,3,5,108,Baja,No,8.17,Riesgo moderado
2681,Bruno Navarro,Masculino,29,6.71,92.6,91.4,No,Privada,2,1,86,Alta,Sí,9.2,Sin riesgo
2682,Diego Álvarez,Masculino,20,8.4,58.3,56.3,No,Pública,6,2,68,Baja,No,5.73,Sin riesgo
2683,Carlos Jiménez,Masculino,25,9.04,86.6,85.3,No,Privada,1,1,115,Alta,Sí,8.59,Sin riesgo
2684,Martín Rivera,Masculino,23,7.27,76.2,74.5,No,Privada,6,3,12,Alta,Sí,7.53,Sin riesgo
2685,Isabel Rodríguez,Femenino,22,4.52,99.0,42.9,Sí,Privada,4,3,102,Alta,No,7.1,Sin riesgo
2686,Juan Navarro,Masculino,21,5.42,77.6,64.3,No,Pública,4,6,47,Alta,No,7.09,Riesgo moderado
2687,Víctor Martínez,Masculino,25,4.99,51.3,51.0,No,Pública,5,2,12,Baja,No,5.12,Alto riesgo
2688,Juan López,Masculino,25,4.75,80.2,61.6,Sí,Pública,1,3,33,Alta,No,7.09,Sin riesgo
2689,Ignacio González,Masculino,29,6.2,57.3,63.0,No,Pública,1,5,17,Baja,No,6.02,Riesgo moderado
2690,Clara Ortega,Femenino,18,5.38,89.9,68.5,Sí,Pública,3,2,5,Alta,No,7.92,Sin riesgo
2691,Martina Pérez,Femenino,26,0.0,92.8,76.0,No,Privada,2,4,33,Alta,Sí,8.44,Sin riesgo
2692,Elena Suárez,Femenino,22,4.33,74.1,74.3,No,Pública,3,5,54,Baja,No,7.42,Riesgo moderado
2693,Eduardo Rodríguez,Masculino,21,0.0,89.2,42.3,No,Privada,3,2,41,Alta,No,6.58,Sin riesgo
2694,Verónica Pérez,Femenino,18,4.62,57.3,85.0,Sí,Privada,3,1,5,Baja,No,7.12,Alto riesgo
2695,Damián Álvarez,Masculino,23,5.03,74.6,97.0,Sí,Pública,2,3,112,Baja,No,8.58,Riesgo moderado
2696,Alejandro García,Masculino,19,6.59,69.7,60.9,Sí,Pública,3,2,73,Baja,No,6.53,Riesgo moderado
2697,Emilio López,Masculino,25,7.06,80.6,50.8,No,Pública,6,2,52,Alta,No,6.57,Sin riesgo
2698,Laura Ortega,Femenino,24,4.84,52.2,72.4,No,Privada,1,6,59,Baja,No,6.23,Alto riesgo
2699,Valentina González,Femenino,18,6.55,87.6,82.3,No,Pública,2,3,118,Alta,Sí,8.49,Sin riesgo
2700,Eduardo Medina,Masculino,19,6.05,54.0,80.7,No,Pública,4,5,70,Baja,No,6.74,Riesgo moderado
2701,María Muñoz,No informado,29,5.1,82.8,76.7,No,Privada,5,1,115,Alta,Sí,7.98,Sin riesgo
2702,Elena Pérez,Femenino,23,4.04,50.9,48.8,No,Privada,5,6,67,Baja,No,4.98,Alto riesgo
2703,Rodrigo Pérez,Masculino,21,6.8,91.6,90.2,No,Pública,6,5,26,Alta,Sí,9.09,Sin riesgo
2704,Paula López,Femenino,19,8.11,66.1,65.5,Sí,Privada,1,5,98,Baja,No,6.58,Sin riesgo
2705,Jimena Morales,Femenino,30,5.36,75.8,53.3,No,Privada,1,2,15,Alta,No,6.46,Riesgo moderado
2706,Pablo Ramírez,Masculino,21,4.79,63.1,45.2,No,Privada,6,3,33,Baja,No,5.42,Alto riesgo
2707,Diego Romero,Masculino,18,9.32,86.1,65.0,Sí,Privada,6,4,110,Alta,No,7.56,Sin riesgo
2708,Rodrigo Gómez,Masculino,24,5.65,66.1,77.1,No,Privada,5,5,7,Baja,No,7.16,Alto riesgo
2709,Matías Molina,Masculino,19,5.34,85.8,79.9,No,Privada,5,5,49,Alta,Sí,8.28,Sin riesgo
2710,Ignacio Martínez,Masculino,30,9.14,64.2,97.8,Sí,Privada,6,0,81,Baja,No,8.1,Sin riesgo
2711,Diego Jiménez,Masculino,19,8.9,87.6,49.2,No,Pública,6,5,7,Alta,No,6.84,Sin riesgo
2712,Sebastián Ramos,Masculino,26,0.0,51.5,99.1,Sí,Privada,4,6,78,Baja,No,7.53,Alto riesgo
2713,Luisa Pérez,Femenino,22,6.94,64.2,79.3,No,Pública,5,4,72,Baja,No,7.18,Riesgo moderado
2714,Sebastián Suárez,Masculino,19,5.31,33.9,67.3,Sí,Pública,3,1,18,Baja,No,5.06,Alto riesgo
2715,Andrés Medina,Masculino,28,4.47,52.3,93.3,Sí,Pública,6,5,91,Baja,No,7.28,Alto riesgo
2716,Gabriela Sánchez,Femenino,26,0.0,59.3,81.7,Sí,Privada,1,3,85,Baja,No,7.05,Alto riesgo
2717,Florencia Rivera,Femenino,26,4.59,96.7,60.9,No,Privada,1,5,69,Alta,No,7.88,Sin riesgo
2718,Ana Rodríguez,Femenino,18,6.7,98.8,93.0,No,Pública,6,5,61,Alta,Sí,9.59,Sin riesgo
2719,Emilio Castro,Masculino,28,9.64,87.0,80.0,No,Pública,1,1,19,Alta,Sí,8.35,Sin riesgo
2720,Felipe Jiménez,Masculino,20,9.72,62.6,81.9,No,Privada,4,4,64,Baja,No,7.22,Sin riesgo
2721,Miguel Romero,Masculino,21,5.44,63.0,93.8,Sí,Privada,4,3,58,Baja,No,7.84,Alto riesgo
2722,Carlos Vega,Masculino,24,7.74,82.3,66.9,No,Pública,6,6,6,Alta,No,7.46,Sin riesgo
2723,Valentín Muñoz,Masculino,27,6.84,55.9,79.4,No,Pública,5,2,86,Baja,No,6.76,Riesgo moderado
2724,Laura Sánchez,Femenino,21,0.0,97.4,84.7,No,Pública,3,1,68,Alta,Sí,9.1,Sin riesgo
2725,Elena Molina,Femenino,19,5.63,61.2,67.2,No,Pública,5,5,107,Baja,No,6.42,Alto riesgo
2726,Juan Ramírez,Masculino,24,4.02,85.7,45.0,No,Privada,1,1,90,Alta,No,6.53,Sin riesgo
2727,Hernán Cabrera,Masculino,23,4.98,74.8,86.3,Sí,Pública,3,4,32,Baja,No,8.06,Riesgo moderado
2728,Carla Sánchez,Femenino,20,6.1,88.6,42.9,Sí,Pública,1,2,98,Alta,No,6.58,Sin riesgo
2729,Diana Ramírez,Femenino,23,5.89,50.1,83.1,No,Pública,3,3,81,Baja,No,6.66,Alto riesgo
2730,Miguel Vargas,Masculino,28,0.0,94.4,94.7,No,Pública,6,4,71,Alta,Sí,9.46,Sin riesgo
2731,Ana Vega,Femenino,23,0.0,63.5,60.8,Sí,Pública,2,3,7,Baja,No,6.22,Alto riesgo
2732,Carolina Sánchez,Femenino,29,5.8,83.4,46.1,No,Privada,4,6,113,Alta,No,6.48,Sin riesgo
2733,Clara Díaz,Femenino,22,6.75,90.3,54.0,Sí,Pública,4,1,57,Alta,No,7.22,Sin riesgo
2734,Carolina Muñoz,Femenino,23,4.57,58.2,73.7,Sí,Pública,6,2,30,Baja,No,6.6,Alto riesgo
2735,Santiago Gómez,Masculino,27,9.39,72.1,96.6,No,Pública,1,3,8,Baja,No,8.43,Sin riesgo
2736,Daniela Rivera,Femenino,29,9.61,74.7,70.7,Sí,Privada,1,4,20,Baja,No,7.27,Sin riesgo
2737,Andrés Ortega,No informado,18,9.88,65.6,46.8,No,Pública,2,2,96,Baja,No,5.62,Sin riesgo
2738,Ignacio González,Masculino,27,9.21,74.1,77.7,No,Pública,5,1,76,Baja,No,7.59,Sin riesgo
2739,César Muñoz,Masculino,23,5.04,65.9,84.0,Sí,Pública,3,6,58,Baja,No,7.5,Alto riesgo
2740,Laura Pérez,Femenino,19,4.28,68.0,63.6,No,Pública,6,2,108,Baja,No,6.58,Alto riesgo
2741,Elena Vega,Femenino,30,7.48,83.5,83.3,No,Privada,2,2,20,Alta,Sí,8.34,Sin riesgo
2742,Paula Pérez,Femenino,18,9.48,81.6,59.5,Sí,Privada,6,3,35,Alta,No,7.06,Sin riesgo
2743,Rafael Castro,Masculino,25,5.06,61.6,87.3,No,Pública,2,1,91,Baja,No,7.44,Alto riesgo
2744,Carlos Morales,Masculino,27,4.04,94.9,60.5,No,Pública,1,1,6,Alta,No,7.77,Sin riesgo
2745,Carla Sánchez,Femenino,23,8.83,93.1,55.4,Sí,Privada,1,1,77,Alta,No,7.42,Sin riesgo
2746,Brenda Muñoz,Femenino,20,4.46,75.5,92.8,No,Privada,5,1,95,Alta,Sí,8.42,Riesgo moderado
2747,Agustina Cabrera,Femenino,24,6.48,71.7,72.9,Sí,Pública,6,1,49,Baja,No,7.23,Riesgo moderado
2748,Valeria Ramos,Femenino,21,8.07,68.8,57.1,Sí,Pública,1,3,58,Baja,No,6.3,Sin riesgo
2749,Hernán Rivera,Masculino,26,5.42,85.4,96.1,No,Pública,5,4,63,Alta,Sí,9.07,Sin riesgo
2750,Natalia Ramírez,Femenino,22,4.5,83.6,81.5,Sí,Privada,1,4,63,Alta,Sí,8.25,Sin riesgo
2751,Emilio Vargas,Masculino,20,8.62,59.8,53.2,No,Pública,4,0,26,Baja,No,5.65,Sin riesgo
2752,Martín Martínez,Masculino,19,7.78,83.6,76.9,No,Pública,5,6,112,Alta,Sí,8.02,Sin riesgo
2753,Miguel Cabrera,Masculino,28,9.93,62.6,92.2,Sí,Pública,2,5,38,Baja,No,7.74,Sin riesgo
2754,Martín Romero,Masculino,19,6.07,50.9,81.8,No,Privada,1,6,77,Baja,No,6.64,Riesgo moderado
2755,Luisa Jiménez,Femenino,20,4.37,85.0,54.7,No,Pública,6,2,101,Alta,No,6.98,Sin riesgo
2756,Matías Álvarez,Masculino,19,8.41,82.2,78.9,No,Privada,6,4,106,Alta,Sí,8.06,Sin riesgo
2757,Carlos Castro,Masculino,21,7.13,70.5,77.1,No,Privada,3,1,60,Baja,No,7.38,Sin riesgo
2758,Tomás Cabrera,Masculino,19,5.28,76.3,89.3,Sí,Pública,3,5,38,Alta,Sí,8.28,Riesgo moderado
2759,Daniela González,Femenino,27,8.69,97.4,50.7,No,Privada,1,1,103,Alta,No,7.41,Sin riesgo
2760,Gabriela Ramírez,Femenino,26,5.22,79.8,82.0,No,Privada,6,2,115,Alta,Sí,8.09,Riesgo moderado
2761,Alejandro Álvarez,Masculino,19,5.56,82.9,41.6,Sí,Privada,1,3,30,Alta,No,6.22,Sin riesgo
2762,Clara Ortega,Femenino,26,4.56,53.2,100.0,No,Pública,6,4,75,Baja,No,7.66,Alto riesgo
2763,Carla Vargas,Femenino,30,6.4,58.3,97.6,No,Privada,6,3,49,Baja,No,7.79,Riesgo moderado
2764,Matías Muñoz,Masculino,23,6.51,65.0,50.5,Sí,Pública,2,1,116,Baja,No,5.78,Riesgo moderado
2765,César Ortega,Masculino,18,7.09,77.0,58.7,No,Pública,1,3,113,Alta,No,6.78,Sin riesgo
2766,Clara Jiménez,Femenino,21,8.25,88.8,75.0,Sí,Pública,2,6,95,Alta,Sí,8.19,Sin riesgo
2767,Romina Muñoz,Femenino,18,9.44,66.1,83.9,Sí,Pública,3,5,80,Baja,No,7.5,Sin riesgo
2768,César Medina,Masculino,23,4.83,34.4,60.7,Sí,Pública,2,4,85,Baja,No,4.76,Alto riesgo
2769,Marcos Vega,Masculino,30,4.33,62.8,79.9,No,Privada,3,3,25,Baja,No,7.14,Alto riesgo
2770,María Martínez,Femenino,21,4.11,62.7,94.0,Sí,Privada,5,1,47,Baja,No,7.83,Alto riesgo
2771,Laura Molina,Femenino,20,4.86,97.4,83.6,No,Pública,3,1,90,Alta,Sí,9.05,Sin riesgo
2772,Valentina Herrera,Femenino,20,7.95,81.8,82.7,No,Pública,6,2,94,Alta,Sí,8.22,Sin riesgo
2773,Agustín Aguilar,Masculino,26,8.36,57.8,62.9,Sí,Privada,3,3,43,Baja,No,6.03,Sin riesgo
2774,Rodrigo Vega,Masculino,23,8.72,86.1,94.7,No,Pública,6,4,17,Alta,Sí,9.04,Sin riesgo
2775,Valeria Suárez,Femenino,26,5.46,86.1,56.6,No,Pública,4,3,110,Alta,No,7.14,Sin riesgo
2776,Nicolás Suárez,Masculino,30,5.84,83.3,52.3,Sí,Pública,6,1,46,Alta,No,6.78,Sin riesgo
2777,Diana Martínez,Femenino,22,6.9,56.7,61.9,Sí,Privada,6,3,49,Baja,No,5.93,Riesgo moderado
2778,Marcos Gómez,Masculino,19,4.38,70.4,79.0,Sí,Pública,6,1,91,Baja,No,7.47,Riesgo moderado
2779,Paula Martínez,Femenino,25,7.67,55.3,91.7,Sí,Privada,4,5,55,Baja,No,7.35,Sin riesgo
2780,Jimena Pérez,Femenino,22,9.9,90.8,47.9,No,Pública,1,1,98,Alta,No,6.94,Sin riesgo
2781,Pablo Ortega,Masculino,19,6.16,82.8,88.8,No,Privada,1,3,21,Alta,Sí,8.58,Sin riesgo
2782,Eduardo Rivera,Masculino,21,0.0,75.4,88.8,No,Pública,3,4,95,Alta,Sí,8.21,Riesgo moderado
2783,Pablo Rodríguez,Masculino,26,7.0,67.2,75.2,No,Pública,5,1,88,Baja,No,7.12,Sin riesgo
2784,Valeria Molina,Femenino,19,4.77,59.2,85.6,Sí,Pública,1,0,67,Baja,No,7.24,Alto riesgo
2785,Víctor Cabrera,No informado,30,7.49,55.3,50.9,No,Pública,3,3,11,Baja,No,5.31,Sin riesgo
2786,Juan Gómez,Masculino,29,5.8,98.5,50.2,Sí,Privada,4,0,59,Alta,No,7.44,Sin riesgo
2787,María Aguilar,Femenino,29,4.21,60.0,91.8,Sí,Privada,1,4,8,Baja,No,7.59,Alto riesgo
2788,Florencia Martínez,Femenino,29,7.81,53.0,69.9,No,Pública,1,5,117,Baja,No,6.14,Sin riesgo
2789,Lucas Gómez,Masculino,30,9.15,98.1,54.8,Sí,Pública,6,2,35,Alta,No,7.64,Sin riesgo
2790,Luisa Romero,Femenino,21,6.07,77.4,81.3,Sí,Privada,6,3,98,Alta,Sí,7.94,Riesgo moderado
2791,Miguel Ortega,Masculino,19,6.34,89.8,93.5,No,Privada,1,6,99,Alta,Sí,9.17,Sin riesgo
2792,Luciana Herrera,Femenino,30,9.35,52.2,77.9,No,Pública,6,3,60,Baja,No,6.51,Sin riesgo
2793,Aldana Aguilar,Femenino,29,8.88,78.3,60.8,Sí,Pública,3,6,8,Alta,No,6.96,Sin riesgo
2794,Gabriel Vega,Masculino,23,8.29,69.9,69.0,Sí,Privada,2,1,86,Baja,No,6.94,Sin riesgo
2795,Beatriz López,Femenino,30,0.0,88.6,85.1,No,Privada,2,4,88,Alta,Sí,8.68,Sin riesgo
2796,Diana Pérez,Femenino,28,9.46,51.9,44.1,No,Pública,5,4,44,Baja,No,4.8,Sin riesgo
2797,Beatriz Rodríguez,Femenino,19,4.93,70.1,53.0,Sí,Pública,1,5,108,Baja,No,6.15,Riesgo moderado
2798,Ignacio Rodríguez,Masculino,25,7.76,90.0,67.8,No,Pública,2,1,116,Alta,No,7.89,Sin riesgo
2799,Miguel González,Masculino,24,4.17,76.1,76.3,No,Pública,3,2,51,Alta,Sí,7.62,Riesgo moderado
2800,Nicolás Medina,Masculino,20,7.86,77.5,60.3,No,Pública,6,1,54,Alta,No,6.89,Sin riesgo
2801,Javier Morales,Masculino,20,5.66,54.9,57.9,No,Pública,6,6,27,Baja,No,5.64,Alto riesgo
2802,Miguel Gómez,Masculino,22,6.7,56.6,42.5,No,Pública,1,3,55,Baja,No,4.96,Riesgo moderado
2803,Luciana Cabrera,Femenino,20,6.07,83.8,42.0,Sí,Pública,2,5,42,Alta,No,6.29,Sin riesgo
